Company Name,Website URL,Current Known Address (City),Industry / Sector,Approx. Employee Count,Signal of Potential Office Space Need,Estimated Urgency / Score,Contact Information
Mitek Systems,https://www.miteksystems.com,Sant Cugat del Vallès,AI / Digital Identity / Software,~200 (Sant Cugat Hub),"65% headcount growth in two years, having grown from 40 to nearly 200 employees since 2017. The company received a €200,000 grant from ACCIÓ for high-impact investment and consolidated its global R&D center in new offices in Sant Cugat in 2024, signaling continuous expansion.",High,"LinkedIn: https://www.linkedin.com/company/mitek-systems, info@miteksystems.com"
Factorial,https://factorialhr.com,Barcelona (22@ District),HR Tech / SaaS,"1,000+ (Targeting 1,300 by end of 2025)","The company is in a phase of 'unstoppable growth,' hiring over 40 people per week. To consolidate its distributed teams, it leased a total of 8,000 m² in the Illacuna complex in the 22@ district, moving from multiple smaller offices to a single, large headquarters in 2025.",High,"LinkedIn: https://www.linkedin.com/company/factorial-hr, hello@factorialhr.com"
Revolut,https://www.revolut.com,Barcelona (Avinguda Diagonal 444),Fintech / Neobank,"1,500 in Spain (100+ hired in Barcelona since April 2024)","The fintech is massively expanding its physical presence to support growth, leasing 2,590 m² at Diagonal 444 and planning to hire more than 300 people in Barcelona by 2028. This expansion reinforces Barcelona's role as a key tech hub for Southern Europe.",High,"LinkedIn: https://www.linkedin.com/company/revolut, press@revolut.com"
deepdots,https://deepdots.com,Barcelona (New Office Planned),AI / SaaS,"Small (Seed-stage, expanding)","The Danish AI startup raised a €5.5 million seed round in June 2025, with the stated strategic goal to 'open a Barcelona office and enhance its AI infrastructure,' representing a clear and immediate need for initial office space in the city.",High,"LinkedIn: https://www.linkedin.com/company/deepdots, hello@deepdots.com"
Veeva Systems,https://www.veeva.com,Barcelona (22@ District),SaaS / Life Sciences Software,Global firm; European hub expanding,"The company has leased 2,166 m² plus a 335 m² private terrace in the Interface building within the 22@ district to establish its European hub, with the space delivery scheduled for Spring 2026 to support its European growth.",High,"LinkedIn: https://www.linkedin.com/company/veeva-systems, info@veeva.com"
Biorce,https://www.biorce.com,"Barcelona (Avinguda Diagonal 615, El Dau)",Biotech / AI for Clinical Trials,60 (Targeting 250 by end of 2026),"Following a $52.5 million (€44M) Series A round led by DST Global, the company is moving from a 200 m² coworking space to a 2,000 m² headquarters and plans to hire 250 new employees, split between Barcelona and a new Austin R&D center.",High,"LinkedIn: https://www.linkedin.com/company/biorce, hello@biorce.com"
Sanofi,https://www.sanofi.com,Barcelona (22@ District),Pharma / Biotech / AI,"1,400 in Spain (300+ new in Barcelona)","The French pharmaceutical giant is creating a new global center of excellence for AI, R&D, and digital capabilities in the 22@ district, which will generate more than 300 highly qualified jobs by the end of 2025, necessitating significant new office space.",High,"LinkedIn: https://www.linkedin.com/company/sanofi, espana@sanofi.com"
EY España,https://www.ey.com/es_es,Barcelona (Multiple offices),Professional Services / Consulting,900 new hires in 2025 (Spain-wide),"The firm has hit a new record by hiring 900 new professionals in 2025, a 20% increase from the previous year. This aggressive talent acquisition, driven by 12.2% revenue growth, directly translates to a need for expanded office capacity in its main hubs, including Barcelona.",High,"LinkedIn: https://www.linkedin.com/company/ey, comunicacion@ey.com"
AstraZeneca,https://www.astrazeneca.es,Barcelona (Edificio Estel),Pharma / Biotech,540+ hired in Catalonia in 2024,"The company inaugurated its new Global Hub in Barcelona in November 2025, representing an investment of €257.6 million and the creation of 540 jobs. As a catalyst for the life sciences ecosystem, its continued growth suggests an ongoing need for adjacent or additional premium office space.",High,"LinkedIn: https://www.linkedin.com/company/astrazeneca, info@astrazeneca.es"
Vytrus Biotech,https://www.vytrus.com,Terrassa,Biotech / Cosmetics,Not specified (Growing rapidly),"The company reported a 75% sales growth in H1 2025 and is investing €5.5 million in a new 1,600 m² production plant in Terrassa, bringing its total facility footprint to 3,000 m² under a 15-year lease as part of its 2024-2027 Strategic Plan.",Medium-High,"LinkedIn: https://www.linkedin.com/company/vytrus-biotech, info@vytrus.com"
Aflofarm España,https://www.aflofarm.pl,Barcelona (Avinguda Diagonal),Pharma / OTC Health,60 in Spain,"The Polish multinational has inaugurated new corporate offices on Avinguda Diagonal. With a turnover of €19 million in 2025 and the launch of two new OTC products, the company is in an active growth phase, reinforcing its need for a central, high-profile office.",Medium-High,"LinkedIn: https://www.linkedin.com/company/aflofarm, info@aflofarm.es"
Siemens,https://www.siemens.es,"Barcelona (Torre Diagonal One, 22@)",Technology / Mobility,Large established presence,"In May 2025, Siemens relocated its Barcelona headquarters to the iconic Torre Diagonal One in the 22@ district. The move is designed to attract talent and enhance its brand image, while its Mobility division continues to invest in its Cornellà factory, signaling broad operational growth.",Medium-High,"LinkedIn: https://www.linkedin.com/company/siemens, info.es@siemens.com"
Heura Foods,https://www.heurafoods.com,Barcelona (22@ / Poblenou area),Food Tech / Plant-Based Protein,~170,"After securing a €20 million loan from the European Investment Bank in May 2025 and inaugurating a new innovation lab, the company moved to larger premises in the 22@ area. Its expansion into new product categories signals a trajectory of growth beyond its current footprint.",Medium-High,"LinkedIn: https://www.linkedin.com/company/heura-foods, info@heurafoods.com"
Net-Pharma / Leanbio,https://www.net-pharma.es / https://www.leanbio.com,Sant Quirze del Vallès,Pharma Hub / Biotech CDMO,120 (Expanding),"The Net-Pharma Hub is opening in May 2026 in a 7,600 m² building, already 70% occupied by 12 companies. Key tenant Leanbio is investing over €25 million in a new 4,000 m² biopharma manufacturing plant, including offices and a QC laboratory.",Medium-High,"LinkedIn (Leanbio): https://www.linkedin.com/company/leanbio, info@leanbio.com"
Deloitte,https://www.deloitte.es,"Barcelona (Edificio Aura, Francesc Macià)",Professional Services / Consulting,Thousands in Barcelona,"In one of the largest office deals of 2025, Deloitte leased 14,100 m² in the Edificio Aura. This massive commitment to premium office space in a prime location is a direct signal of the firm's expansion and consolidation plans in the Catalan capital.",Medium-High,"LinkedIn: https://www.linkedin.com/company/deloitte, comunicacion@deloitte.es"
Grifols,https://www.grifols.com,Sant Cugat del Vallès,Pharma / Plasma-Derived Medicines,"23,000+ global","The company's global headquarters in Sant Cugat shows sustained workforce growth with over 23 active job openings locally. Its commitment to expanding its workforce, including a disability inclusion program that has doubled its representation in five years, indicates a steady need for office capacity.",Medium,"LinkedIn: https://www.linkedin.com/company/grifols, info@grifols.com"
FORCADELL,https://www.forcadell.com,Terrassa,Real Estate Services,167 (30+ in Terrassa),"The consultancy inaugurated a new, larger office in Terrassa in January 2026, consolidating three previous locations. This move, which included the strategic integration of Finques Esvillar in 2024, is explicitly designed to 'address the growth of the coming years.'",Medium,"LinkedIn: https://www.linkedin.com/company/forcadell, info@forcadell.com"
Banco Sabadell,https://www.bancosabadell.com,Sabadell (HQ) / Barcelona,Banking / Financial Services,"~4,700 in Spain","The bank has moved its registered headquarters back to Sabadell. Concurrently, its business banking division has expanded, adding 69 new specialists and growing its client network by over 20,000, reinforcing its physical and operational presence in its historical home city.",Medium,"LinkedIn: https://www.linkedin.com/company/banco-sabadell, bancosabadell@bancosabadell.com"
Cushman & Wakefield,https://www.cwsespana.com,Barcelona (L'Illa Diagonal),Real Estate Services,Expanded Iberia team,"The firm relocated its Barcelona office to L'Illa Diagonal (1,300 m²) in December 2025 as part of a €2.6 million investment across Iberia. The move is accompanied by strategic senior hires, including a new partner director for its Living and Corporate Finance divisions.",Medium,"LinkedIn: https://www.linkedin.com/company/cushman-&-wakefield, barcelona@cushmanwakefield.com"
SIXT España,https://www.sixt.es,Sabadell,Mobility / Car Rental,Expanding network,The company opened a new branch in Sabadell in Q3 2025 as part of a strategic national expansion plan aimed at reaching 100 branches. This opening strengthens the company's physical footprint in the Vallès Occidental region.,Medium,"LinkedIn: https://www.linkedin.com/company/sixt, press@sixt.es"
Banca March,https://www.bancamarch.es,Barcelona (Avinguda Diagonal 431),Private Banking,Growing,"The private bank leased over 5,200 m² on Avinguda Diagonal 431. This significant acquisition of prime office space is a clear indicator of the institution's growth ambitions and its need to consolidate and expand its operations in Barcelona's financial district.",Medium,"LinkedIn: https://www.linkedin.com/company/banca-march, info@bancamarch.es"
Sage,https://www.sage.com,Barcelona (22@ area),Software / ERP,Global firm,"According to Savills market data for Q1 2025, Sage leased 3,700 m² of office space in the 'Nova Àrea de Negocis' (NBA), indicating a tangible expansion of its software and professional services operations in Barcelona's tech corridor.",Medium,"LinkedIn: https://www.linkedin.com/company/sage-software, info@sage.com"
Infor,https://www.infor.com,Barcelona (22@ area),Enterprise Software / Cloud ERP,Global firm,"Market reports from Savills confirm that Infor leased 2,440 m² in the NBA zone. This move reflects the company's ongoing strategy to grow its cloud ERP presence and customer base in Southern Europe from a central Barcelona location.",Medium,"LinkedIn: https://www.linkedin.com/company/infor, info@infor.com"
Sateliot,https://sateliot.space,Barcelona (Sants-Montjuïc),Satellite IoT / Telecom,101-200,"The company, which has raised over $137 million in funding, leased 1,800 m² according to Q1 2025 market data. As a scale-up in the competitive space-tech sector, its physical expansion in Barcelona supports its mission to build a global 5G IoT satellite constellation.",Medium,"LinkedIn: https://www.linkedin.com/company/sateliot, info@sateliot.space, +34 651 849 324"
