company_name,business_type,locations_count,cities_present,headquarters_or_main_city,website,linkedin,instagram,decision_makers,emails,phone_numbers,expansion_signals,why_they_fit,estimated_positioning,lead_score,priority_level,notes
Gold's Gym España,Premium gym chain (franchise model),2 (Terrassa + Sant Cugat del Vallès),Terrassa; Sant Cugat del Vallès,Barcelona,https://www.goldsgym.es,https://www.linkedin.com/company/golds-gym,@goldsgymespana,RSG Group International Expansion Team (Franchise Development); Jordi Bonich (CEO TRIB3 Spain / Expansion Advisor),info@goldsgym.es,,Opened flagship in Terrassa (€3M investment) in 2025; Sant Cugat opening February 2026 (€4M investment); Targeting 3-4 new clubs in 2026; 50 clubs in 5 years target; Actively selling provincial franchise territories; Record-breaking pre-sales in Terrassa and Sant Cugat,"Already invested €3M in Terrassa, proving belief in the market. Masterfranchise model actively seeking new investors by province. 500m² fits their boutique-premium format. Corporate wellness angle aligns with nearby office workers.",Premium / Boutique / Franchise,95,High,RSG Group-backed global brand. Expansion through provincial masterfranchises. Terrassa club was one of most successful launches in Spain. Actively recruiting franchisees.
Fitness Park Spain,Premium accessible fitness chain (franchise),"89+ clubs in Spain, 400+ globally",Terrassa (Club #400 globally); Barcelona; Madrid; Sabadell; Rubí; Viladecans; 50+ municipalities,Barcelona / Madrid,https://www.fitnesspark.es,https://www.linkedin.com/company/fitness-park-spain,@fitnessparkspain,Édouard Téxte (Masterfranchise Co-Owner Spain); Stéphane Miras (Masterfranchise Co-Owner Spain); Pedro Gomes (Director General Growth & Development),,,Opened club #400 globally IN TERRASSA (December 2025); Grew from 47 to 89 clubs in Spain in 2025 (+68%); €24M invested in H1 2025 alone; €280M financing from Carlyle for expansion; Targeting 80 new clubs in 2026; Masterfranchise model in Spain,"Literally opened their milestone #400 club in Terrassa, validating the market massively. Aggressive expansion with masterfranchise seeking multi-unit operators. €2M+ per club investment. Smart-price positioning perfect for 500m² near offices.",Smart-price / Premium accessible,93,High,Opened Club #400 in Terrassa in December 2025. Masterfranchise model. Looking for multi-unit franchisees. Average club generates €1M/year revenue. Terrassa is proven territory for them.
Synergym (VivaGym Group),Low-cost gym chain,166 (pre-VivaGym acquisition),Terrassa; Sabadell; Vic; Montcada i Reixac; Lleida; Barcelona; 40+ cities,Barcelona / Málaga,https://www.synergym.es,https://www.linkedin.com/company/synergym,@synergym,Jordi Bella (CEO); Sergey Miteyko (Co-founder),,,"€7M investment planned in Catalonia for 2025; Targeting medium cities (40,000-50,000+ inhabitants); Named Terrassa and Sabadell as target cities; Growing from 100 to 160 to 200 clubs; Break-even expected current fiscal year","Explicitly named Terrassa and Sabadell as expansion targets. €7M Catalonia investment planned. Targets cities of 40,000-50,000+ with 'infraoferta'. 500m² fits their format perfectly. NOTE: May 2026 acquisition by VivaGym - integration in progress.",Low-cost / Accessible,88,High,CRITICAL: VivaGym agreed to acquire Synergym in May 2026. Terrassa still strategic but integration timeline uncertain. Contact via VivaGym Group.
VivaGym Group,Low-cost gym chain (consolidating market),260+ centers Spain & Portugal,Terrassa (Altafit integration); Barcelona; L'Hospitalet; Madrid; 30+ provinces,Málaga,https://www.vivagym.es,https://www.linkedin.com/company/vivagym,@vivagym,Juan del Río Nieto (CEO); Río Nieto (Consejero Delegado),,,"Acquired Altafit (70 clubs), Smartfit, Macrofit, FitUp, others; 550,000+ members; Targeting 30 organic openings per year; €190M+ revenue in 2024; Terrassa Plaça location integrated from Altafit",Already has Terrassa presence (ex-Altafit). Aggressive acquirer and expander. 500m² in office zone could complement their network or serve as upgraded location. Corporate wellness partnerships possible with scale.,Low-cost / Mass market,82,High,Integration of acquired chains ongoing. Terrassa already served. Better as acquirer than new entrant but worth monitoring for partnerships.
Zenergie Body & Soul,Longevity-focused wellness gym (franchise),1 opening (Barcelona),Barcelona (opening autumn 2025),Barcelona,https://www.zenergie.es,,,Rod Hill (Co-founder & CEO); George Houtenbos (Co-founder),,,"Launching first center Barcelona autumn 2025; Franchise model from day one; Targeting cities 50,000+ inhabitants; €500K+ investment per center; 500-600m² format (exact match)","PERFECT FIT: 500-600m² is their exact target format. Cities 50,000+ inhabitants. First club in Barcelona shows Catalan focus. Premium longevity concept ideal for corporate wellness partnerships. €500K+ investment signals serious operator.",Premium wellness / Longevity / Boutique,91,High,Founded by ex-Anytime Fitness Iberia CEO and ex-Basic-Fit Spain co-founder. First club Barcelona autumn 2025. Seeking franchisees. Exact 500m² format match.
Aurial Padel / Grup Aurial,Padel + Fitness + Gastronomy hybrid club,6+ clubs in Catalonia + 1 Bratislava,Sant Cugat; Terrassa; Cornellà; Vic; Viladecavalls; Bratislava,Sant Cugat del Vallès,https://www.aurialpadel.com,,@aurialpadel,Jon Grau (Co-founder & CEO); Marta Marrero (Co-founder); Albert Villon (Director of Operations); Daniel Osés (Co-founder & Board Member),,,Acquired Vilapadel in Viladecavalls (near Terrassa) in 2025; Hired club manager for Aurial Terrassa; Plan for 10 clubs by 2025 (in progress); International expansion to Bratislava; Integrating gym + padel + restaurant concept,Already operating in Terrassa and expanding throughout Vallès. Padel + gym hybrid concept. 500m² fitness space fits their integrated model. Corporate clientele from nearby offices aligns with their premium positioning. Strong Vallès expansion trajectory.,Premium / Padel+Fitness+Gastro hybrid,87,High,Grup Aurial has explicit Terrassa presence. Growing through acquisitions in Vallès. Padel+gym+restaurant concept creates ecosystem approach ideal for office environment.
Anytime Fitness Iberia,24/7 gym franchise,"50+ clubs, 60+ planned for 2026",Sabadell; Manresa; Premià de Mar; Vilafranca del Penedès; Sant Joan Despí; Lleida; Vic; Girona; 25+ more,Barcelona,https://www.anytimefitness.es,https://www.linkedin.com/company/anytime-fitness-iberia,@anytimefitnesses,Tim Devereaux (General Manager Iberia); Alexis Sekulits (Expansion Director); Enrique Iranzo (Operations Director),franquicia@anytimefitness.es,,"12 planned openings in 2026; Catalonia is historical priority region; Targeting 60+ clubs and 60,000+ members in 2026; First corporate club in Madrid planned; Multi-franchisee model proven in Catalonia","Strong Catalonia presence, franchise model, 24/7 concept ideal for office workers. Multi-franchisee approach with proven operators in Barcelona metro. 500m² fits their format. Corporate wellness angle aligns with 24/7 access for shift workers.",Mid-market / 24-7 / Franchise,85,High,Active franchise recruitment. Catalan market is priority. Multi-franchisee model. 24/7 concept perfect for corporate clients.
Wellness Revolution (DiR Franchises),"Wellness franchise holding (YogaOne, Glow Pilates, OneBarre, Jambox, OneDiR)",90+ centers total,Barcelona; Madrid; Valencia; 30+ cities across Spain,Barcelona,https://www.wellnessrevolution.es,,@yogaonebydir,Silvia Canela (Expansion & Franchise Director); Gerard Figueras (Deputy General Manager DiR),expansion@dir.cat; laia.mora@wellnessrevolution.es,+34 681 820 034,"Glow Pilates expanding to Madrid (2+ locations); OneBarre growing nationally; YogaOne at 65+ centers, expanding to Italy; Jambox boutique boxing expanding; Actively seeking franchisees across all brands","Multiple boutique concepts (yoga, pilates, barre, boxing) that can fit in 500m² or complement it. Strong franchise infrastructure. Corporate wellness is natural fit for YogaOne and Glow Pilates. Barcelona-based with deep Catalonia knowledge.",Premium boutique wellness / Franchise,86,High,"Multiple brands allow flexible approaches - could operate YogaOne, Glow Pilates, or OneDiR in the space. Strong franchise support system. 40+ years of DiR experience backing."
Brooklyn Fitboxing,Fitboxing boutique franchise,192+ clubs in Spain,Barcelona; Madrid; Valencia; Málaga; 50+ cities,Madrid,https://www.brooklynfitboxing.com,https://www.linkedin.com/company/brooklyn-fitboxing,@brooklynfitboxing,Gabriele Aluigi (Chief Expansion Officer); Mario Gutierrez (CEO Spain),,,200+ clubs in Spain (largest market globally); 50 new franchisees planned for 2026; €50M+ revenue in 2025; Investment €50K-200K per club; Franchise model actively seeking franchisees,Franchise model allows local entrepreneurs. Compact format fits 500m². High-energy concept ideal for stress relief near offices. Strong brand recognition. Corporate group classes could be a revenue stream.,Boutique / Franchise / Mid-market,84,High,Franchise-driven. Looking for franchisees. 200+ Spain clubs prove model works. Compact studios. High brand awareness.
DiR (Clubs DiR),Premium gym chain + multiboutique concept,20+ own clubs + 66+ YogaOne franchisees,Barcelona; Sant Cugat del Vallès; Sabadell; Badalona; Sant Just Desvern,Barcelona,https://www.dir.cat,https://www.linkedin.com/company/clubs-dir,@clubsdir,Gerard Figueras (Subdirector General); Albert Soler (Consejero Delegado (DiR Group)),,,"Converting 5 major clubs to multiboutique format; DiR Tuset (5,000m²) first to transform; Maragall, Diagonal, Sant Cugat, Castillejos to follow; Timeline through 2030; Investing in recovery zones, cycling, Hyrox",BDiR (proximity) concept in Sabadell shows interest in Vallès. Sant Cugat multiboutique conversion proves they're investing in area. 500m² could be BDiR or specialized boutique concept. Strong corporate brand.,Premium / Multiboutique / Local leader,83,High,Catalan market leader. BDiR Sabadell active. Sant Cugat being renovated. Multiboutique strategy creates opportunity for specialized concepts.
