Company Name,Website URL,Current Known Address (City),Industry / Sector,Approx. Employee Count,Signal of Potential Office Space Need,Estimated Urgency / Score,Contact Information
Mitek Systems,https://www.miteksystems.com,Sant Cugat del Vallès,AI / Digital Identity,~200,65% headcount growth in 2 years. €200K ACCIÓ grant. Consolidated global R&D center in new Sant Cugat offices in 2024.,High,"LinkedIn: mitek-systems, info@miteksystems.com"
Factorial,https://factorialhr.com,Barcelona (22@),HR Tech / SaaS,"1,000+ (targeting 1,300)","Hiring 40+ people/week. Leased 8,000 m² in Illacuna complex (22@), consolidating multiple offices into single HQ in 2025.",High,"LinkedIn: factorial-hr, hello@factorialhr.com"
Revolut,https://www.revolut.com,Barcelona (Avinguda Diagonal 444),Fintech / Neobank,"1,500 in Spain","Leased 2,590 m² at Diagonal 444. Planning 300+ hires in Barcelona by 2028.",High,"LinkedIn: revolut, press@revolut.com"
deepdots,https://deepdots.com,Barcelona (New Office),AI / SaaS,<10 (seed-stage),€5.5M seed round (June 2025). Stated goal: 'open a Barcelona office and enhance AI infrastructure.' Immediate need for initial space.,High,"LinkedIn: deepdots, hello@deepdots.com"
Veeva Systems,https://www.veeva.com,Barcelona (22@),SaaS / Life Sciences,Global (EU hub expanding),"Leased 2,166 m² + 335 m² terrace in Interface building (22@) for European hub. Delivery Spring 2026.",High,"LinkedIn: veeva-systems, info@veeva.com"
Biorce,https://www.biorce.com,Barcelona (Avinguda Diagonal 615),Biotech / AI,60 (targeting 250),"$52.5M Series A (DST Global). Moving from 200 m² coworking to 2,000 m² HQ. Hiring 250 employees.",High,"LinkedIn: biorce, hello@biorce.com"
Sanofi,https://www.sanofi.com,Barcelona (22@),Pharma / AI,"1,400 in Spain (300+ new)",New global AI/R&D/digital center of excellence in 22@. 300+ highly qualified jobs by end 2025.,High,"LinkedIn: sanofi, espana@sanofi.com"
EY España,https://www.ey.com/es_es,Barcelona (Multiple),Professional Services,900 new hires in 2025,"Record 900 hires in 2025 (+20% YoY), 12.2% revenue growth. Expanded office capacity needed.",High,"LinkedIn: ey, comunicacion@ey.com"
AstraZeneca,https://www.astrazeneca.es,Barcelona (Edificio Estel),Pharma / Biotech,540+ in Catalonia,"New Global Hub inaugurated Nov 2025. €257.6M investment, 540 jobs. Ongoing growth signals.",High,"LinkedIn: astrazeneca, info@astrazeneca.es"
QIAGEN,https://www.qiagen.com,Esplugues de Llobregat,Biotech / Diagnostics,230 → 400+,"€13M investment in 8,000 m² global innovation center at Esplugues Campus. Opening early 2026. 74% headcount growth.",High,"LinkedIn: qiagen, info@qiagen.com"
CrowdStrike,https://www.crowdstrike.com,"Barcelona (22@, Llull 122)",Cybersecurity,EMEA HQ expanding,"Leased entire 5,027 m² building at Llull 122 for EMEA HQ. Fit-out in progress, long-term lease.",High,"LinkedIn: crowdstrike, info@crowdstrike.com"
Scopely,https://www.scopely.com,Barcelona (22@),Gaming / Mobile,700+,"Opened 8,500 m² hub in 22@ (July 2025), €13.5M. Revenue +25% to €161M. 4th Barcelona office.",High,"LinkedIn: scopely, press@scopely.com"
Inbrain Neuroelectronics,https://inbrain-neuroelectronics.com,Barcelona (Parc Científic),Biotech / Neuroelectronics,~30 (growing),"€78.2M raised (largest PCB round). PCB at 100% capacity. New building (2,700 m²) not until 2028. Urgent interim space need.",High,"LinkedIn: inbrain-neuroelectronics, info@inbrain-neuroelectronics.com"
Orange Cyberdefense España,https://www.orangecyberdefense.com,Barcelona,Cybersecurity,100 (launch phase),New entity launching with 100 cybersecurity experts. SOC center in Barcelona. Orange group targeting €2B revenue by 2030.,High,"LinkedIn: orange-cyberdefense, info@orangecyberdefense.com"
Kleinanzeigen (Adevinta),https://www.kleinanzeigen.de,"Barcelona (22@, Ciutat de Granada 150)",E-commerce / Classifieds,New office (hiring),"Opened first Spanish subsidiary (March 2026), 10th floor in 22@. 36M monthly users. I&D hub hiring developers.",High,LinkedIn: kleinanzeigen
TravelPerk,https://www.travelperk.com,"Barcelona (22@, Almogàvers 160)",Business Travel / SaaS,"1,500+","Leased 9,400 m² at Almogàvers 160 (A160). IRL-first (3 days/week in office). Hiring across all functions. €190M Series E at €2.57B valuation.",High,"LinkedIn: travelperk, press@travelperk.com"
Murphy AI,https://getmurphy.ai,Barcelona (Poblenou),AI / Fintech (Debt Collection),~40 (growing fast),"$15M raised (Northzone, ElevenLabs, Lakestar, Seedcamp). Founded 2024, already 40+. Hiring Sr AI Engineers, VP Product, Head of Finance.",High,"LinkedIn: murphy-ai, careers@getmurphy.ai"
Cala AI,https://cala.ai,Barcelona,AI / Knowledge-as-a-Service,~20,"€7M pre-seed (Lightspeed, Kfund, Kibo, Masia). Founded 2025 by ex-Apple/Vilynx executives. Recently inaugurated Barcelona office. US expansion planned.",High,LinkedIn: cala-ai
Grupo Prodesco,https://www.prodesco.es,"Terrassa (NEW 5,000 m² platform)",Food Distribution / Food Service,200+ (30% growth in 2025),"Opened NEW 5,000 m² logistics platform in Terrassa (Feb 2026). €62M revenue (+17.4%). 30% headcount growth. CEPYME500 recognized.",High,"LinkedIn: prodesco, info@prodesco.es"
Pastisart,https://pastisart.com,Terrassa (HQ + Roda de Berà factory),Frozen Bakery / Pastry Manufacturing,~520,"€112M revenue 2024, targeting €123M in 2025 (+10%). Just invested €16M expanding Roda de Berà factory from 11,000 to 16,000 m² (+50% capacity). CEO: Núria Betriu (former ACCIÓ CEO).",High,"LinkedIn: pastisart, info@pastisart.com"
Semrush,https://www.semrush.com,"Barcelona (22@, Tanger 98)",MarTech / SEO SaaS,"1,000+ (25 open roles in Barcelona)","One of largest global offices in 22@. 25 open vacancies in Barcelona (Analytics, Customer Success, Marketing, Sales, Product & Tech). Public company ($412M+ revenue). Continuously hiring.",High,"LinkedIn: semrush, press@semrush.com"
Preply,https://www.preply.com,Barcelona (Portal del Angel 40),EdTech / Language Learning,"501-1,000 (11% growth in 12 months)","$294.8M total funding. 32,000+ tutors, 15M+ lessons booked. 71 jobs open in Barcelona. Expanding B2B offerings. Hybrid work model with central Barcelona office.",High,"LinkedIn: preply, press@preply.com"
AstraZeneca Barcelona Hub (SSC),https://careers.astrazeneca.com/barcelona,Barcelona (Edificio Estel),Pharma / Shared Service Center,"500+ (targeting 1,000)","Hired 500 in 2 years, targeting 1,000. Recruiting in R&D, IT, Commercial, HR. €257.6M investment in Global Hub.",High,"LinkedIn: astrazeneca, info@astrazeneca.es"
Riot Games Barcelona,https://www.riotgames.com,Barcelona,Gaming / Esports,Expanding,Esports Organized Play Manager position open. Barcelona office serving Southern European esports operations. Part of global gaming network.,High,LinkedIn: riot-games
Blizzard Entertainment Barcelona,https://careers.blizzard.com,Barcelona,Gaming / Esports,Expanding rapidly,"10+ open positions in Barcelona: Senior Producer (Overwatch), Senior Technical Artist, Senior DevOps, Gameplay Designer, Systems Designer, Senior Data Scientist. Major hiring wave.",High,LinkedIn: blizzard-entertainment
King (Activision Blizzard) Barcelona,https://careers.king.com,Barcelona,Gaming / Mobile (Candy Crush),Expanding,"8+ open positions: Senior II Backend Developer, Senior Tools Developer, Senior Software Engineer, Build Engineer (Candy Crush), Principal Product Analyst. Barcelona is key dev hub.",High,LinkedIn: king
Remuner,https://remuner.com,Barcelona (Wayra portfolio),Fintech / HR Tech (Sales Compensation),~30-50 (growing),"€2M round (Wayra, Pear VC, Kfund, Bonsai Partners). AI-powered variable compensation management. No-code platform integrating with Salesforce, HubSpot, Dynamics. Scaling in Europe.",High,"LinkedIn: remuner, info@remuner.com"
PayFlow,https://payflow.es,Barcelona (Wayra portfolio),Fintech / Earned Wage Access,~50-100,Wayra-backed. Allows workers to access salary at any time. Growing rapidly across Spain. B2B2C model. Integrating with major payroll systems. Hiring.,High,"LinkedIn: payflow, info@payflow.es"
Hudl,https://www.hudl.com,Barcelona (Sales office),Sports Tech / Video Analytics,"1,001-5,000 global (Barcelona expanding)",Sales Manager position open in Barcelona. $104M Series E (Accel). Online video analysis for coaches at all levels. Expanding European sales presence.,High,LinkedIn: hudl
Genomcore,https://genomcore.com,Barcelona (Wayra portfolio),Health Tech / Biomedical Data AI,~50-100,"Wayra-backed. Biomedical data platform integrating genomic, clinical, and wearable data with AI. Working with Telefónica to promote precision medicine in public healthcare. Generating €50M+ revenue with Telefónica.",High,"LinkedIn: genomcore, info@genomcore.com"
Voicemod,https://www.voicemod.net,Barcelona (coworking space),Audio Tech / Voice AI for Gaming,90+ (35 recent hires),20M+ users. Barcelona coworking workspace + Valencia HQ. 35 new hires placed through Growara. Head of Brand & Creative position open. Scaling multiplatform audio entertainment.,High,"LinkedIn: voicemod, teams@voicemod.com"
Bit2Me,https://bit2me.com,Barcelona,Fintech / Crypto Exchange,100+ (growing),"Spain's leading crypto exchange. €21.6M revenue 2025 (+13%). 1.3M+ clients. Hiring GRC Specialist, developers. Wayra portfolio. First platform synchronizing traditional finance with Bitcoin.",High,LinkedIn: bit2me
Inspira,https://inspire-se.co,Barcelona (Wayra / 4YFN 2025),Legal Tech / AI Legal Assistant,~15-25 (growing),"Wayra portfolio. AI legal assistant for research, knowledge management, document analysis. Google for Startups 2025. Web Summit Lisbon 2023 Pitch Winner. Accelerated by District and Challenger.",High,LinkedIn: inspire-legal-ai
Housfy,https://housfy.com,Barcelona (Nuclio portfolio),PropTech / Home Services,~100-200,"Nuclio Venture Builder startup. First platform for home services: sell, buy, rent, renovate. Expanding across Spain. Digital-first real estate model.",High,LinkedIn: housfy
Devengo,https://devengo.com,Barcelona (Wayra portfolio),Fintech / Real-Time Payments API,~30-50 (growing),"Wayra portfolio. Real-time payment API for B2B integrations. Automates account creation, sending/receiving money programmatically. Featured at 4YFN 2025. Growing client base.",High,LinkedIn: devengo
Deepull Diagnostics,https://deepull.com,Barcelona (Parc Científic de Barcelona),Biotech / Sepsis Diagnostics AI,~50-100 (growing),"€70M+ raised since founding. AI-powered sepsis diagnostics (UllCORE system). Located at PCB which is at 100% capacity (22,553 m² labs fully occupied since 2023). New PCB building not until 2028. Urgent need for interim expansion space.",High,LinkedIn: deepull-diagnostics
