Company Name,Website URL,Current Known Address (City),Industry / Sector,Approx. Employee Count,Signal of Potential Office Space Need,Estimated Urgency / Score,Contact Information

Mitek Systems,https://www.miteksystems.com,Sant Cugat del Vallès,AI / Digital Identity,~200,65% headcount growth in 2 years. €200K ACCIÓ grant. Consolidated global R&D center in new Sant Cugat offices in 2024.,High,"LinkedIn: mitek-systems, info@miteksystems.com"

Factorial,https://factorialhr.com,Barcelona (22@),HR Tech / SaaS,"1,000+ (targeting 1,300)","Hiring 40+ people/week. Leased 8,000 m² in Illacuna complex (22@), consolidating multiple offices into single HQ in 2025.",High,"LinkedIn: factorial-hr, hello@factorialhr.com"

Revolut,https://www.revolut.com,Barcelona (Avinguda Diagonal 444),Fintech / Neobank,"1,500 in Spain","Leased 2,590 m² at Diagonal 444. Planning 300+ hires in Barcelona by 2028.",High,"LinkedIn: revolut, press@revolut.com"

deepdots,https://deepdots.com,Barcelona (New Office),AI / SaaS,<10 (seed-stage),€5.5M seed round (June 2025). Stated goal: 'open a Barcelona office and enhance AI infrastructure.' Immediate need for initial space.,High,"LinkedIn: deepdots, hello@deepdots.com"

Veeva Systems,https://www.veeva.com,Barcelona (22@),SaaS / Life Sciences,Global (EU hub expanding),"Leased 2,166 m² + 335 m² terrace in Interface building (22@) for European hub. Delivery Spring 2026.",High,"LinkedIn: veeva-systems, info@veeva.com"

Biorce,https://www.biorce.com,Barcelona (Avinguda Diagonal 615),Biotech / AI,60 (targeting 250),"$52.5M Series A (DST Global). Moving from 200 m² coworking to 2,000 m² HQ. Hiring 250 employees.",High,"LinkedIn: biorce, hello@biorce.com"

Sanofi,https://www.sanofi.com,Barcelona (22@),Pharma / AI,"1,400 in Spain (300+ new)",New global AI/R&D/digital center of excellence in 22@. 300+ highly qualified jobs by end 2025.,High,"LinkedIn: sanofi, espana@sanofi.com"

EY España,https://www.ey.com/es_es,Barcelona (Multiple),Professional Services,900 new hires in 2025,"Record 900 hires in 2025 (+20% YoY), 12.2% revenue growth. Expanded office capacity needed.",High,"LinkedIn: ey, comunicacion@ey.com"

AstraZeneca,https://www.astrazeneca.es,Barcelona (Edificio Estel),Pharma / Biotech,540+ in Catalonia,"New Global Hub inaugurated Nov 2025. €257.6M investment, 540 jobs. Ongoing growth signals.",High,"LinkedIn: astrazeneca, info@astrazeneca.es"

QIAGEN,https://www.qiagen.com,Esplugues de Llobregat,Biotech / Diagnostics,230 → 400+,"€13M investment in 8,000 m² global innovation center at Esplugues Campus. Opening early 2026. 74% headcount growth.",High,"LinkedIn: qiagen, info@qiagen.com"

CrowdStrike,https://www.crowdstrike.com,"Barcelona (22@, Llull 122)",Cybersecurity,EMEA HQ expanding,"Leased entire 5,027 m² building at Llull 122 for EMEA HQ. Fit-out in progress, long-term lease.",High,"LinkedIn: crowdstrike, info@crowdstrike.com"

Scopely,https://www.scopely.com,Barcelona (22@),Gaming / Mobile,700+,"Opened 8,500 m² hub in 22@ (July 2025), €13.5M. Revenue +25% to €161M. 4th Barcelona office.",High,"LinkedIn: scopely, press@scopely.com"

Inbrain Neuroelectronics,https://inbrain-neuroelectronics.com,Barcelona (Parc Científic),Biotech / Neuroelectronics,~30 (growing),"€78.2M raised (largest PCB round). PCB at 100% capacity. New building (2,700 m²) not until 2028. Urgent interim space need.",High,"LinkedIn: inbrain-neuroelectronics, info@inbrain-neuroelectronics.com"

